_id,year_month,year,month,month_name,harmonize_grp,hmn_grp_name_export,items_baht_amnt_export
47,2021-09-01T00:00:00,2021,9,September,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.18669E+11
48,2021-09-01T00:00:00,2021,9,September,87,ยานยนต์และส่วนประกอบ,80846145771
49,2021-09-01T00:00:00,2021,9,September,40,ยางและของทำด้วยยาง,52003684963
50,2021-09-01T00:00:00,2021,9,September,39,พลาสติกและของที่ทำด้วยพลาสติก,45935317602
51,2021-09-01T00:00:00,2021,9,September,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,29248802242
52,2021-09-01T00:00:00,2021,9,September,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,25453291848
53,2021-09-01T00:00:00,2021,9,September,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,15225259662
54,2021-09-01T00:00:00,2021,9,September,29,เคมีภัณฑ์อินทรีย์,17630351365
55,2021-09-01T00:00:00,2021,9,September,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",14012560495
56,2021-09-01T00:00:00,2021,9,September,73,ของทำด้วยเหล็กหรือเหล็กกล้า,13218075773
57,2021-09-01T00:00:00,2021,9,September,10,ธัญพืช,11119513851
58,2021-09-01T00:00:00,2021,9,September,8,ผลไม้และลูกนัตที่บริโภคได้,11456298890
59,2021-09-01T00:00:00,2021,9,September,74,ทองแดงและชองทำด้วยทองแดง,10253536764
60,2021-09-01T00:00:00,2021,9,September,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,8898891485
61,2021-08-01T00:00:00,2021,8,August,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.11133E+11
62,2021-08-01T00:00:00,2021,8,August,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.04545E+11
63,2021-08-01T00:00:00,2021,8,August,87,ยานยนต์และส่วนประกอบ,73245459780
64,2021-08-01T00:00:00,2021,8,August,40,ยางและของทำด้วยยาง,52962688170
65,2021-08-01T00:00:00,2021,8,August,39,พลาสติกและของที่ทำด้วยพลาสติก,45173986009
66,2021-08-01T00:00:00,2021,8,August,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,30921550617
67,2021-08-01T00:00:00,2021,8,August,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,28673827415
68,2021-08-01T00:00:00,2021,8,August,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,13645029221
69,2021-08-01T00:00:00,2021,8,August,29,เคมีภัณฑ์อินทรีย์,14938530593
70,2021-08-01T00:00:00,2021,8,August,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",12962377329
71,2021-08-01T00:00:00,2021,8,August,73,ของทำด้วยเหล็กหรือเหล็กกล้า,11481513503
72,2021-08-01T00:00:00,2021,8,August,10,ธัญพืช,9918102474
73,2021-08-01T00:00:00,2021,8,August,8,ผลไม้และลูกนัตที่บริโภคได้,27188001713
74,2021-08-01T00:00:00,2021,8,August,74,ทองแดงและชองทำด้วยทองแดง,9784418446
75,2021-08-01T00:00:00,2021,8,August,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,8563842721
76,2021-07-01T00:00:00,2021,7,July,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.14278E+11
77,2021-07-01T00:00:00,2021,7,July,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.07139E+11
78,2021-07-01T00:00:00,2021,7,July,87,ยานยนต์และส่วนประกอบ,78418470322
79,2021-07-01T00:00:00,2021,7,July,40,ยางและของทำด้วยยาง,50496318545
80,2021-07-01T00:00:00,2021,7,July,39,พลาสติกและของที่ทำด้วยพลาสติก,42243506596
81,2021-07-01T00:00:00,2021,7,July,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,24963026003
82,2021-07-01T00:00:00,2021,7,July,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,32886631404
83,2021-07-01T00:00:00,2021,7,July,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,15508359839
84,2021-07-01T00:00:00,2021,7,July,29,เคมีภัณฑ์อินทรีย์,15817928155
85,2021-07-01T00:00:00,2021,7,July,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",13381770792
86,2021-07-01T00:00:00,2021,7,July,73,ของทำด้วยเหล็กหรือเหล็กกล้า,11601985818
87,2021-07-01T00:00:00,2021,7,July,10,ธัญพืช,7593785495
88,2021-07-01T00:00:00,2021,7,July,8,ผลไม้และลูกนัตที่บริโภคได้,25276861849
89,2021-07-01T00:00:00,2021,7,July,74,ทองแดงและชองทำด้วยทองแดง,10201264023
90,2021-07-01T00:00:00,2021,7,July,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,8154370996
91,2021-06-01T00:00:00,2021,6,June,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.23929E+11
92,2021-06-01T00:00:00,2021,6,June,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.13253E+11
93,2021-06-01T00:00:00,2021,6,June,87,ยานยนต์และส่วนประกอบ,86543336158
94,2021-06-01T00:00:00,2021,6,June,40,ยางและของทำด้วยยาง,52978976444
95,2021-06-01T00:00:00,2021,6,June,39,พลาสติกและของที่ทำด้วยพลาสติก,41047320909
96,2021-06-01T00:00:00,2021,6,June,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,22111919792
97,2021-06-01T00:00:00,2021,6,June,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,29509815319
98,2021-06-01T00:00:00,2021,6,June,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,16740233198
99,2021-06-01T00:00:00,2021,6,June,29,เคมีภัณฑ์อินทรีย์,16303027694
100,2021-06-01T00:00:00,2021,6,June,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",13726660053
101,2021-06-01T00:00:00,2021,6,June,73,ของทำด้วยเหล็กหรือเหล็กกล้า,13743430794
102,2021-06-01T00:00:00,2021,6,June,10,ธัญพืช,7524028678
103,2021-06-01T00:00:00,2021,6,June,8,ผลไม้และลูกนัตที่บริโภคได้,21787908756
104,2021-06-01T00:00:00,2021,6,June,74,ทองแดงและชองทำด้วยทองแดง,10487117932
105,2021-06-01T00:00:00,2021,6,June,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,7868454686
106,2021-05-01T00:00:00,2021,5,May,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.19247E+11
107,2021-05-01T00:00:00,2021,5,May,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,99306265382
108,2021-05-01T00:00:00,2021,5,May,87,ยานยนต์และส่วนประกอบ,84592264090
109,2021-05-01T00:00:00,2021,5,May,40,ยางและของทำด้วยยาง,48632500656
110,2021-05-01T00:00:00,2021,5,May,39,พลาสติกและของที่ทำด้วยพลาสติก,40573305946
111,2021-05-01T00:00:00,2021,5,May,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,26234567271
112,2021-05-01T00:00:00,2021,5,May,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,33837965659
113,2021-05-01T00:00:00,2021,5,May,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,15288519369
114,2021-05-01T00:00:00,2021,5,May,29,เคมีภัณฑ์อินทรีย์,15462095920
115,2021-05-01T00:00:00,2021,5,May,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",13430614485
116,2021-05-01T00:00:00,2021,5,May,73,ของทำด้วยเหล็กหรือเหล็กกล้า,11810526002
117,2021-05-01T00:00:00,2021,5,May,10,ธัญพืช,6684029000
118,2021-05-01T00:00:00,2021,5,May,8,ผลไม้และลูกนัตที่บริโภคได้,34157446538
119,2021-05-01T00:00:00,2021,5,May,74,ทองแดงและชองทำด้วยทองแดง,9385984889
120,2021-05-01T00:00:00,2021,5,May,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,6208552612
121,2021-04-01T00:00:00,2021,4,April,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.10774E+11
122,2021-04-01T00:00:00,2021,4,April,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,94770257270
123,2021-04-01T00:00:00,2021,4,April,87,ยานยนต์และส่วนประกอบ,70100280234
124,2021-04-01T00:00:00,2021,4,April,40,ยางและของทำด้วยยาง,51718783475
125,2021-04-01T00:00:00,2021,4,April,39,พลาสติกและของที่ทำด้วยพลาสติก,39341238405
126,2021-04-01T00:00:00,2021,4,April,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,23055274599
127,2021-04-01T00:00:00,2021,4,April,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,19936082831
128,2021-04-01T00:00:00,2021,4,April,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,15384991043
129,2021-04-01T00:00:00,2021,4,April,29,เคมีภัณฑ์อินทรีย์,14584665529
130,2021-04-01T00:00:00,2021,4,April,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",12787741568
131,2021-04-01T00:00:00,2021,4,April,73,ของทำด้วยเหล็กหรือเหล็กกล้า,11685870019
132,2021-04-01T00:00:00,2021,4,April,10,ธัญพืช,6903783227
133,2021-04-01T00:00:00,2021,4,April,8,ผลไม้และลูกนัตที่บริโภคได้,24914735518
134,2021-04-01T00:00:00,2021,4,April,74,ทองแดงและชองทำด้วยทองแดง,8452722680
135,2021-04-01T00:00:00,2021,4,April,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,6148730051
136,2021-03-01T00:00:00,2021,3,March,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.22137E+11
194,2020-12-01T00:00:00,2020,12,December,74,ทองแดงและชองทำด้วยทองแดง,7317650965
137,2021-03-01T00:00:00,2021,3,March,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.07618E+11
138,2021-03-01T00:00:00,2021,3,March,87,ยานยนต์และส่วนประกอบ,1.0028E+11
139,2021-03-01T00:00:00,2021,3,March,40,ยางและของทำด้วยยาง,61750968472
140,2021-03-01T00:00:00,2021,3,March,39,พลาสติกและของที่ทำด้วยพลาสติก,42468163054
141,2021-03-01T00:00:00,2021,3,March,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,20654996851
142,2021-03-01T00:00:00,2021,3,March,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,22927853399
143,2021-03-01T00:00:00,2021,3,March,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,17580624982
144,2021-03-01T00:00:00,2021,3,March,29,เคมีภัณฑ์อินทรีย์,12215912698
145,2021-03-01T00:00:00,2021,3,March,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",13659086596
146,2021-03-01T00:00:00,2021,3,March,73,ของทำด้วยเหล็กหรือเหล็กกล้า,15065878313
147,2021-03-01T00:00:00,2021,3,March,10,ธัญพืช,6990291065
148,2021-03-01T00:00:00,2021,3,March,8,ผลไม้และลูกนัตที่บริโภคได้,6058155232
149,2021-03-01T00:00:00,2021,3,March,74,ทองแดงและชองทำด้วยทองแดง,9082358595
150,2021-03-01T00:00:00,2021,3,March,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,6744765722
151,2021-02-01T00:00:00,2021,2,February,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.06074E+11
152,2021-02-01T00:00:00,2021,2,February,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,88660008726
153,2021-02-01T00:00:00,2021,2,February,87,ยานยนต์และส่วนประกอบ,77367078379
154,2021-02-01T00:00:00,2021,2,February,40,ยางและของทำด้วยยาง,51915744658
